,Posisi,Nama Perusahaan,Lokasi Magang,Kuota,Tunjangan,Program Studi,Hari Libur,URL
4270,Asisten Pranata Komputer,BPS Kota Cilegon,Kota Cilegon,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f4fb8-6cac-458a-8ca6-81d68c5566b3
4272,Asisten Pranata Komputer,BPS Kota Bukittinggi,Kota Bukittinggi,1 kuota,,"Teknologi Informasi, Sains Data, Ilmu Komputer, Teknik informatika, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f762e-f527-4c57-931b-a5edc6d23529
4277,Bidang Kepegawaian,Kantor Pencarian dan Pertolongan Kelas B Manokwari,Kab. Manokwari,1 kuota,,"Teknik Informatika, Ilmu Komputer, Manajemen, Psikologi, Administrasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/bidang-kepegawaian-a24398e9-b725-46c2-8315-bcc7e6b6c354
4278,Teknologi Informasi,Kantor Pencarian dan Pertolongan Kelas B Palangkaraya,Kota Palangkaraya,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Telekomunikasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/teknologi-informasi-a2439a81-9c09-41f4-a069-5697501d2340
4280,Bidang Teknologi Informatika,Kantor Pencarian dan Pertolongan Kelas A Manado,Kab. Minahasa Utara,2 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknik informatika, Sistem informasi, Pendidikan Teknologi Informatika dan Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/bidang-teknologi-informatika-a243a6cd-760f-4b85-8a1b-8c9f03ab4d89
4299,Asisten Statistisi,BPS Kota Ambon,Kota Ambon,2 kuota,,"Sains Data, Ilmu Komputer, Ilmu Ekonomi, Komputasi Statistik, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23ecb64-2af2-449d-97ef-a8e200f7629d
4302,Bidang Pranata Komputer (Pengelolaan Jaringan),Kantor Pencarian dan Pertolongan Kelas A Balikpapan,Kota Balikpapan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/bidang-pranata-komputer-pengelolaan-jaringan-a24366f1-68ed-452f-92fe-152408382e92
4306,Asisten Pranata Komputer,BPS Kota Bontang,Kota Bontang,2 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknik informatika, sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f17d2-9a69-44e9-9025-af63f15cb041
4314,Bidang Pusat Data dan Informasi,Kantor Pencarian dan Pertolongan Kelas A Banjarmasin,Kota Banjarbaru,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknologi Rekayasa Komputer Jaringan, Manajemen Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/bidang-pusat-data-dan-informasi-a2435597-761f-4abe-bda3-33ac6655834f
4316,Bidang Pranata Komputer (sistem Informasi),Kantor Pencarian dan Pertolongan Kelas A Balikpapan,Kota Balikpapan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/bidang-pranata-komputer-sistem-informasi-a24367d9-0864-4038-b995-89d5c628f12d
4317,Bidang Teknologi Informasi,Kantor Pencarian dan Pertolongan Kelas A Tanjung Pinang,Kota Tanjung Pinang,1 kuota,,"Teknik Informatika, Informatika, Ilmu Komputer, Sistem Informasi, Pendidikan Teknik Informatika dan Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/bidang-teknologi-informasi-a2436bf3-beec-4663-a029-d68eb527757f
4319,Asisten Statistisi,BPS Kota Ambon,Kota Ambon,2 kuota,,"Sains Data, Ilmu Komputer, Ilmu Ekonomi, Komputasi Statistik, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23ecb64-2af2-449d-97ef-a8e200f7629d
4354,Pengolah Data,Pusat Penyuluhan Kelautan dan Perikanan,Kota Adm. Jakarta Utara,1 kuota,,"Ilmu Komputer, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengolah-data-a243ad84-dd7b-4be8-8ae5-faa236d8586c
4362,Asisten Pranata Komputer,BPS Kota Kotamobagu,Kota Kotamobagu,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2419560-1d38-49da-b768-e4897782d562
4372,Asisten Pranata Komputer,BPS Kota Surabaya,Kota Surabaya,6 kuota,,"Sains Data, Ilmu Komputer, Teknik informatika, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241b0fa-6cf3-4ea3-8b69-cb9050b98fb8
4374,Asisten Pranata Komputer,BPS Kota Surabaya,Kota Surabaya,6 kuota,,"Sains Data, Ilmu Komputer, Teknik informatika, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241b0fa-6cf3-4ea3-8b69-cb9050b98fb8
4376,Asisten Pranata Komputer,BPS Kota Tanjung Balai,Kota Tanjung Balai,2 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Teknologi Rekayasa Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242c968-7a6e-4075-bd73-8e11d7c51b53
4377,Asisten Pranata Komputer,BPS Kota Tangerang,Kota Tangerang,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241e824-97d3-4469-9bb2-a3a7d333145b
4378,Asisten Pranata Komputer,BPS Kota Kotamobagu,Kota Kotamobagu,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2419560-1d38-49da-b768-e4897782d562
4383,Asisten Statistisi,BPS Kota Metro,Kota Metro,1 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a2417611-fe5e-4c0a-b8c4-8cc341657a1b
4389,Asisten Pranata Komputer,BPS Kota Probolinggo,Kota Probolinggo,2 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Rekayasa Keamanan Siber, Teknik Robotika dan Kecerdasan Buatan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2417ab1-8b3d-4e13-be46-8d7c8799b1a8
4390,Asisten Pranata Komputer,BPS Kota Jakarta Pusat,Kota Adm. Jakarta Pusat,1 kuota,,"Ilmu Komputer, Teknologi Komputer, Sistem Informasi, Teknik informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2418a33-5eca-4df0-86d2-9987068acbcc
4395,Asisten Pranata Komputer,BPS Kota Prabumulih,Kota Prabumulih,2 kuota,,"Teknik Informatika, Teknologi Informasi, Sains Data, Ilmu Komputer, Sistem Informasi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241706d-9b18-4e95-9c1c-32948035b3c4
4397,Asisten Pranata Komputer,BPS Kota Jakarta Pusat,Kota Adm. Jakarta Pusat,1 kuota,,"Ilmu Komputer, Teknologi Komputer, Sistem Informasi, Teknik informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2418a33-5eca-4df0-86d2-9987068acbcc
4399,Asisten Pranata Komputer,BPS Kota Probolinggo,Kota Probolinggo,2 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Rekayasa Keamanan Siber, Teknik Robotika dan Kecerdasan Buatan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2417ab1-8b3d-4e13-be46-8d7c8799b1a8
4402,Asisten Statistisi,BPS Kota Metro,Kota Metro,1 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a2417611-fe5e-4c0a-b8c4-8cc341657a1b
4407,Asisten Pranata Komputer,BPS Kota Sungai Penuh,Kota Sungai Penuh,2 kuota,,"Teknik Informatika, Teknologi Informasi, Sains Data, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a24167d7-e080-432b-ab54-ab305bbf8457
4409,Asisten Pranata Komputer,BPS Kota Kendari,Kota Kendari,4 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknik informatika, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2413a7c-d076-4b55-a140-067934e16d44
4410,Asisten Pranata Komputer,BPS Kota Pekalongan,Kota Pekalongan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2415443-f470-4462-af1c-dc249a997c22
4415,Asisten Pranata Komputer,BPS Kota Sungai Penuh,Kota Sungai Penuh,2 kuota,,"Teknik Informatika, Teknologi Informasi, Sains Data, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a24167d7-e080-432b-ab54-ab305bbf8457
4428,Informatika dan Komputer,BPS Kota Sukabumi,Kota Sukabumi,3 kuota,,"Informatika, Ilmu Komputer, Komputasi Statistik","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/informatika-dan-komputer-a2410a61-73fc-4e73-8e6a-258c00a5dcdb
4429,Asisten Pranata Komputer,BPS Kota Bandung,Kota Bandung,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Sistem dan Teknologi Informasi, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a241288f-9a99-49a4-a1ea-094eb63673ab
4430,Asisten Pranata Komputer,BPS Kota Blitar,Kota Blitar,1 kuota,,"Informatika, Rekayasa Perangkat Lunak Aplikasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2413881-fb6f-4917-986c-d2dea2eb22b6
4431,Asisten Pranata Komputer,BPS Kota Sawah Lunto,Kota Sawahlunto,1 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknik informatika, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2410a89-1506-4f15-a4f0-4499d1671beb
4432,Asisten Pranata Komputer,BPS Kota Jambi,Kota Jambi,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2411e15-9add-4d11-95c0-afdf75cb630f
4444,Asisten Pranata Komputer,BPS Kota Lubuklinggau,Kota Lubuk Linggau,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2410555-3025-4715-8f68-3f0908a62ad5
4449,Asisten Pranata Komputer,BPS Kota Depok,Kota Depok,1 kuota,,"Teknik Informatika, Teknologi Informasi, Sains Data, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a240fd10-f8a4-45c9-9fab-965a6c8b56d8
4469,Staf Bidang Informasi Publik dan Hubungan Masyarakat,Sekretariat Badan Pengembangan Sumber Daya Manusia Perdagangan,Kota Adm. Jakarta Pusat,1 kuota,,"Ilmu Komputer, Ilmu Komunikasi, Desain Komunikasi Visual, Desain Grafis","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-bidang-informasi-publik-dan-hubungan-masyarakat-a2416387-56c0-4cd3-8b25-ac1be2f39fe6
4470,4. Asisten Pranata Komputer,BPS Kota Pontianak,Kota Pontianak,3 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/4.-asisten-pranata-komputer-a243f014-5411-4b49-8c8c-542bcc211d17
4473,Asisten Pranata Komputer,BPS Kota Gorontalo,Kota Gorontalo,1 kuota,,"Teknologi Informasi, Ilmu Komputer, Teknik informatika, Pendidikan Komputer, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a243f6f5-9ddb-43b1-b7ed-f1486e3f4302
4485,Asisten Pranata Komputer,BPS Kota Palu,Kota Palu,3 kuota,,"Teknologi Informasi, Sains Data, Ilmu Komputer, Teknik informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a243e1d8-ef5c-4add-b673-69d2ef0a2f8a
4505,Asisten Pranata Komputer,BPS Kota Blitar,Kota Blitar,1 kuota,,"Informatika, Rekayasa Perangkat Lunak Aplikasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2435e88-0d2b-43ce-9682-4c48bb278ab1
4506,Asisten Pranata Komputer,BPS Kota Jakarta Utara,Kota Adm. Jakarta Utara,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Keamanan Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2435bc6-074e-46be-bde4-252e42a3133a
4513,Asisten Pranata Komputer,BPS Kota Bekasi,Kota Bekasi,1 kuota,,"Rekayasa Sistem Komputer, Ilmu Komputer, Komputasi Statistik, Teknik Komputer Dan Jaringan, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2436a38-6456-438e-b500-c5f4f2c86b18
4517,Asisten Pranata Komputer,BPS Kota Malang,Kota Malang,1 kuota,,"Teknik Informatika, Ilmu Komputer, Komunikasi, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a243535b-e755-42bc-8c50-01c088945914
4521,Asisten Pranata Komputer,BPS Kota Bekasi,Kota Bekasi,1 kuota,,"Rekayasa Sistem Komputer, Ilmu Komputer, Komputasi Statistik, Teknik Komputer Dan Jaringan, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a2436a38-6456-438e-b500-c5f4f2c86b18
4535,Asisten Pranata Komputer,BPS Kota Jakarta Barat,Kota Adm. Jakarta Barat,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242fc63-06ee-44c9-8e34-2133a932dfce
4538,Asisten Pranata Komputer,BPS Kota Gunungsitoli,Kota Gunungsitoli,2 kuota,,"Teknik Informatika, Teknologi Informasi, Sains Data, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242fe2c-afcd-476e-a3a1-fcbbb06b71ef
4542,Asisten Pranata Komputer,BPS Kota Parepare,Kota Pare Pare,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Komputasi Statistik, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242f975-55c9-405d-8e46-f281debc9790
4543,Asisten Pranata Komputer,BPS Kota Jakarta Barat,Kota Adm. Jakarta Barat,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242fc63-06ee-44c9-8e34-2133a932dfce
4547,Asisten Pranata Komputer,BPS Kota Jakarta Timur,Kota Adm. Jakarta Timur,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242e666-4c09-461e-88f1-02e3e6a6eadd
4550,Asisten Pranata Komputer,BPS Kota Jakarta Selatan,Kota Adm. Jakarta Selatan,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242f52f-0789-42d1-a666-a6d2f29c4341
4552,Asisten Statistisi,BPS Kota Jakarta Selatan,Kota Adm. Jakarta Selatan,1 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a242f1bb-8799-4e7e-92a3-6eca15d075e9
4563,Asisten Statistisi,BPS Kota Jakarta Selatan,Kota Adm. Jakarta Selatan,1 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a242f1bb-8799-4e7e-92a3-6eca15d075e9
4565,Asisten Pranata Komputer,BPS Kota Tarakan,Kota Tarakan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Teknik Robotika dan Kecerdasan Buatan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242d982-2da3-4a8c-8178-2f1b32b78fb4
4566,Asisten Pranata Komputer,BPS Kota Padangsidimpuan,Kota Padangsidimpuan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242e1b5-abef-45d2-a4bd-b05168242741
4575,Asisten Pranata Komputer,BPS Kota Tarakan,Kota Tarakan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Teknik Robotika dan Kecerdasan Buatan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a242d982-2da3-4a8c-8178-2f1b32b78fb4
4578,Pengolah Data dan Informasi,Kantor Kesyahbandaran dan Otoritas Pelabuhan Utama Belawan,Kota Medan,1 kuota,,"Ilmu Komputer, Administrasi Publik, Administrasi Perkantoran","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengolah-data-dan-informasi-a243a753-9c01-4f7f-b69f-51c10b60b8ca
4579,Pengolah Data dan Informasi,Kantor Kesyahbandaran dan Otoritas Pelabuhan Utama Belawan,Kota Medan,2 kuota,,"Ilmu Komputer, Administrasi Publik, Administrasi Perkantoran","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengolah-data-dan-informasi-a243b260-1619-44d2-9164-6bc7fb02148d
4598,Asisten Pranata Komputer,BPS Kabupaten Solok,Kab. Solok,1 kuota,,"Teknik Informatika, Teknologi Rekayasa Perangkat Lunak, Teknologi Informasi, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f6f96-e6c1-4183-9772-bb6481e6cf05
4603,Asisten Pranata komputer,BPS Kabupaten Tanah Datar,Kab. Tanah Datar,2 kuota,,"Teknik Informatika, Teknologi Informasi, Sains Data, Ilmu Komputer, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f6bf1-1fdf-48a3-b5e0-41022e60cdf6
4607,Asisten Publisitas dan Kehumasan,BPS Kabupaten Sikka,Kab. Sikka,1 kuota,,"Multimedia, Ilmu Komputer, Ilmu Komunikasi, Desain Komunikasi Visual, Hubungan Masyarakat Dan Komunikasi Digital","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-publisitas-dan-kehumasan-a23f5013-8866-4c4d-b580-4cdb2590b076
4611,Asisten Publisitas dan Kehumasan,BPS Kabupaten Sikka,Kab. Sikka,1 kuota,,"Multimedia, Ilmu Komputer, Ilmu Komunikasi, Desain Komunikasi Visual, Hubungan Masyarakat Dan Komunikasi Digital","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-publisitas-dan-kehumasan-a23f5013-8866-4c4d-b580-4cdb2590b076
4616,Asisten Pranata Komputer,BPS Kabupaten Sikka,Kab. Sikka,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f50f0-7326-4bd9-9594-14391d6815f3
4623,Asisten Pranata Komputer,BPS Kabupaten Tanah Bumbu,Kab. Tanah Bumbu,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Robotika dan Kecerdasan Buatan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f6051-70ab-4b75-9108-d98c274c8710
4626,Asisten Publisitas dan Kehumasan,BPS Kabupaten Sikka,Kab. Sikka,1 kuota,,"Multimedia, Ilmu Komputer, Ilmu Komunikasi, Desain Komunikasi Visual, Hubungan Masyarakat Dan Komunikasi Digital","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-publisitas-dan-kehumasan-a23f5013-8866-4c4d-b580-4cdb2590b076
4627,Asisten Pranata Komputer,BPS Kabupaten Sikka,Kab. Sikka,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f50f0-7326-4bd9-9594-14391d6815f3
4631,Asisten Statistisi,BPS Kabupaten Tanah Laut,Kab. Tanah Laut,2 kuota,,"Sains Data, Ilmu Komputer, Aktuaria, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23f4883-d5ff-4320-8c41-97aedb351e23
4634,Asisten Pranata Komputer,BPS Kabupaten Sikka,Kab. Sikka,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Pendidikan Teknologi Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f42e1-3273-44fa-8abe-8045f1c70e45
4636,Asisten Pranata Komputer,BPS Kabupaten Kolaka Timur,Kab. Kolaka Timur,4 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Komputer, Teknik Komputer Dan Jaringan, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f4982-ffdd-4ce6-86d8-8b7cc711bd4b
4639,Asisten Pranata Komputer,BPS Kabupaten Konawe Selatan,Kab. Konawe Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f4520-79d3-444e-813b-72885e6e72d3
4642,Asisten Pranata Komputer,BPS Kabupaten Sigi,Kab. Sigi,1 kuota,,"Teknik Informatika, Informatika, Ilmu Komputer, Teknologi Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f4bc0-7c51-4ee6-9391-570d271229ed
4653,Asisten Pranata Komputer,BPS Kabupaten Sanggau,Kab. Sanggau,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Sistem Informasi, Administrasi Jaringan Komputer","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f0c89-6324-4778-8964-9feca6328c78
4656,Asisten Pranata Komputer,BPS Kabupaten Kolaka Utara,Kab. Kolaka Utara,4 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f1d6e-a653-4f5f-8ff6-81b1f5ba5e50
4659,Asisten Pranata Komputer,BPS Kabupaten Kolaka,Kab. Kolaka,2 kuota,,"Teknik Informatika, Teknologi rekayasa Perangkat Lunak, Ilmu Komputer, Sistem Informasi, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pranata-komputer-a23f388a-035c-4172-8574-deff0ab7032e
4661,Asisten Statistisi,BPS Kabupaten Maluku Tengah,Kab. Maluku Tengah,4 kuota,,"Sains Data, Ilmu Komputer, Teknik lndustri, Ekonomi, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23f29c9-71c2-4fb5-9527-5ed1db572649
4678,Asisten Statistisi,BPS Kabupaten Maluku Tenggara,Kab. Maluku Tenggara,2 kuota,,"Sains Data, Ilmu Komputer, Teknik Industri, Ekonomi, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23ef9a8-3beb-4c2b-8e04-0454c3cb0332
4680,Asisten Statistisi,BPS Kabupaten Maluku Tenggara,Kab. Maluku Tenggara,2 kuota,,"Sains Data, Ilmu Komputer, Teknik Industri, Ekonomi, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a23ef9a8-3beb-4c2b-8e04-0454c3cb0332
